,How much do you trust the AI’s suggestion for solving this visual reasoning task?,"Q1_During the completion of this task, how helpful do you think the AI's suggestion was?","Q1_During the completion of this task, how much mental effort do you think you used?","Q1_In the next round of testing, would you still choose to trust the AI's suggestion?","Q1_Now that you know the correct answer to this question, would you still choose to trust the AI’s suggestion in the next round?",Q1_To what extent do you trust the AI's assistance in solving the visual reasoning task?,"Q2_During the completion of this task, how helpful do you think the AI's suggestion was?","Q2_During the completion of this task, how much mental effort do you think you used?","Q2_Now that you know the correct answer to this question, would you still choose to trust the AI’s suggestion in the next round?",Q2_To what extent do you trust the AI's assistance in solving the visual reasoning task?,"Q3_During the completion of this task, how helpful do you think the AI's suggestion was?","Q3_During the completion of this task, how much mental effort do you think you used?","Q3_In the next round of testing, would you still choose to trust the AI's suggestion?","Q3_Now that you know the correct answer to this question, would you still choose to trust the AI’s suggestion in the next round?",Q3_To what extent do you trust the AI's assistance in solving the visual reasoning task?,"Q4_During the completion of this task, how helpful do you think the AI's suggestion was?","Q4_During the completion of this task, how much mental effort do you think you used?","Q4_In the next round of testing, would you still choose to trust the AI's suggestion?",Accuracy,Category_Control B,Category_Experiment 1,Category_Experiment 2,Category_Experiment 3,Category_Experiment 4,Category_Experiment 5,Category_Experiment 6
f0,-0.2249938579965123,-0.2289331704878461,0.18926752580623732,-0.23717470341602642,-0.2405948363537429,-0.24781001135325423,-0.24346859199497808,0.2001989456581112,-0.25421420520284327,-0.25710528947707234,-0.2502753650710681,0.19651767968482045,-0.26198049603650386,-0.24924222827667875,-0.25057293174356904,-0.23228341179076709,0.18498292040003214,-0.24945033376291575,0.07376956891450112,0.054438454103310885,-0.031763839703659265,-0.0031877338217228646,0.013366441414680926,-0.010573984227974221,0.02152348123324895,0.01165363470507441
f1,-0.20424183582228278,-0.27214290315150014,0.16719709201094365,-0.25726704783492244,-0.28598887638664244,-0.25325879198367174,-0.12037808451696995,0.10040923449106676,0.06679067790725823,0.05986887837298195,0.15752344678491198,-0.16414443160599448,0.13185907397437505,0.2571010873979821,0.24816484968523095,0.18250036791717192,-0.16019931803165005,0.1796308070542401,0.1507311163086316,-0.17105644136624595,-0.10187409079049257,-0.06450127619659277,-0.33275337335114585,0.33638884579355477,0.020997662194628418,0.1806221397570644
f2,-0.07638746111431946,-0.05518631529243547,0.14759730598795087,-0.05951828878312823,-0.02954026342238592,-0.02455352222232305,0.12213118535668793,0.020706126735683367,0.3100187567029328,0.27909307306747233,0.053508375924118334,-0.01788667661673647,0.07374302858588269,-0.13422355271737535,-0.0969445717160146,-0.11391637140255172,0.19055241320274127,-0.0936018954775147,0.03891540318584627,-0.11637910678653886,0.4311589547727576,-0.3153025644844766,-0.08454922646607214,0.11754518073067438,0.38860388422133746,-0.4566538187123481
f3,0.027153859929696666,-0.030870551811515982,-0.25314145047249176,0.012612949268213665,-0.17783545764963818,-0.1495829685208204,-0.01994260775239041,-0.17852133064401776,-0.04533852022564886,-0.018843465968133504,0.0259372995650694,-0.2786816453338491,-0.013000157863192682,-0.08935390632677274,-0.08293518239541993,-0.08440610127404226,-0.20635912081349872,-0.056212017281830416,-0.39238976514719204,0.6169871460646762,-0.0729049860534565,-0.2605525155988406,-0.27834024609290525,0.06349284618162714,0.06576456458827164,-0.0740282579216567
f4,0.06392300734796579,0.04793944554918764,-0.05365097824304522,0.05872071565692291,-0.08093808143451454,-0.04680865924542348,0.009829217249144514,0.02520072281671986,0.011757459103991013,0.006393315609680355,-0.04155202422895216,0.039209624636188795,-0.03329995708267231,-0.07991477735082297,-0.05975622377496153,0.13726079246816975,-0.06048517591799633,0.09897532476004066,-0.0021740503758179907,-0.1678694049160688,-0.36096086452492065,-0.3517856805588411,0.15189164606004033,-0.2901745585836458,0.6583816365817037,0.32869690528695167
f5,-0.10870933888514418,-0.11856458414945197,-0.007979493120711561,-0.10102301675150514,0.029452744614817197,0.024206403761771772,-0.02612810638564415,-0.09373278317715325,-0.017258562883691934,0.009916018471043784,-0.01870776008987998,-0.13972150240083187,-0.0011866568567390258,-0.03995879690955352,-0.050269261660767506,0.03898507823305712,-0.1404715282600932,0.009124212793789818,0.04038471837412562,-0.04896093171443589,0.5987643825283429,-0.09438483364509591,-0.20584620197486017,-0.5536307499618297,-0.12524261371858056,0.4137438780709992
f6,0.027775548409577026,0.03922165959320145,-0.04150458628133438,0.03497570322783198,0.01676455027439314,0.005850318995576033,0.021158211906924105,0.05485155959615607,-0.008099835751531172,-0.005597833990880085,-0.008552692669674377,0.049396281423929926,0.008279964555426567,0.030777251511222833,0.0414694189810573,-0.052059553105716916,0.035679133885871114,-0.03997887804895537,0.03440328948067484,0.034726371070305,-0.07921787207821247,0.6389328304879154,-0.556666050768267,-0.2509682853078869,0.4107908186626403,-0.14674501107324975
f7,-0.2720425485039388,-0.20767524826200945,-0.139758401230095,-0.20100587932413377,-0.031469912282781703,-0.04850588708376461,-0.029778522827055346,-0.3336403643732284,-0.037443087001230065,-0.033249543865090346,-0.05485796796520021,-0.30454337843968765,-0.03063843386704075,-0.0681659923647292,-0.056773037437175,0.040736750134808396,-0.4038343632562159,0.01736459167780204,-0.055359221929087356,-0.24964043996335927,-0.04665258354352838,0.26849527979308957,0.38328788708467326,-0.12079161371265221,0.09536976867193098,-0.3535819210577049
f8,-0.11884819278592935,-0.16454568112617962,0.42809279826280955,-0.17784316924258498,0.06962134775095348,0.059101465167638784,-0.0014541487139250367,0.2710441611893423,0.058522883179998486,0.07984392234618609,0.11190447303331909,0.145366697736903,0.1170256597710403,0.08170688381387926,0.12012194960591302,0.24364859859267643,0.0055631160148648965,0.2212053589643602,-0.18413726804328456,0.4183667451598989,-0.10945729571529215,-0.00021629261934060794,0.19582488502355372,-0.39982863680748315,-0.042344916827626575,-0.2336613430961412
f9,0.04523417290836927,-0.010856876623469812,0.022191714796366637,0.03215926410850447,0.028524705044849802,0.035475210409260445,0.052526119047063315,-0.13332375822126138,0.039202823930526015,-0.03490749926110311,0.007358467166137303,-0.14044382985616266,0.037774705652322584,-0.032067751555180275,-0.044195114739044285,-0.06729738139774079,-0.11090206910319965,-0.026477605279119326,0.8599796692570243,0.33200295038180594,-0.16373871889589423,-0.13093746753729632,-0.017974949251497455,-0.1284039949160323,-0.04413536659049619,-0.12933130851596636
